"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",TIME,""Value"",""Flag Codes"""
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",86.578,"
"DEU,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",83.98,"
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",94.011,"
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",90.685,"
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",87.183,"
"DEU,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",82.85,"
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2011"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2012"",,""M"""
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2013"",92.256,"
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2014"",88.38,"
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2015"",85.975,"
"DEU,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2016"",85.281,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2005"",96.873,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2010"",88.741,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2011"",96.231,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2012"",102.479,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2013"",101.164,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2014"",102.93,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2015"",99.314,"
"GRC,""GRADRATE"",""UPPSRY"",""PC"",""A"",""2016"",94.922,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2005"",93.966,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2010"",86.933,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2011"",95.806,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2012"",101.887,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2013"",99.682,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2014"",102.393,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2015"",100.265,"
"GRC,""GRADRATE"",""UPPSRY_MEN"",""PC"",""A"",""2016"",96.289,"
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2005"",99.927,"
"GRC,""GRADRATE"",""UPPSRY_WOMEN"",""PC"",""A"",""2010"",90.693,"
